userid,username,headline,skill
1175,Tessie Semon,"Director of Medical Management Job in Rancho Cordova
","MVC,Bootstrap,Soap,Operations Analysis,WebLogic,Rust,especially C/C++,Data Analytics,Citrix,Regulated Environment,Project coordinator,IP Video Delivery,Data Storage,Solaris"
1176,Marc-Olivier Coppens,"Director of Medical Management Job in Rancho Cordova
","Change Management,visualization SQL,Analytical Skills,Linux,RESTful web services,Testing,Node.js,Director of IS,Database,MVC,Octave,data driven development,ALM,TDD"
1177,Penney Beans,"Director of Medical Management Job in Rancho Cordova
","VNF Manager,network monitoring,XML/XSL,Primavera 6.0,XML"
1178,Maragret Bonini,"Director of Medical Management Job in Rancho Cordova
","Telecom,Adobe Creative Cloud,MS Project Stadard,Outlook,Spring,Wealth Management,Video,applications development,JENKINS,Optimization,XML/XSL,staffing"
1179,Jona Galik,"Environmental Project Manager - PM Remediation Job in Islip
","QA,Sales"
1180,Daniela Pucci de Farias,"Environmental Project Manager - PM Remediation Job in Islip
","Perl,HTML5,CONTROL,security accessment,PMP,Algorithm Engineer,,ADA,Angular2,Plug Play,SQL Server,SDLC,OOD,BW reporting"
1181,Doru C. Balcan,"Environmental Project Manager - PM Remediation Job in Islip
","BASIC,React,movies,mobile device,Quality,AI,See job description,ADA,Cisco,Contract Corp-To-Corp,SQL,UNIX/AIX,SSL,Metrics"
1182,Sina Sorn,"Environmental Project Manager - PM Remediation Job in Islip
","CISSP,Developer,OpenStack,Project Manager,JENKINS,Avamar,Scheduling,AML,BW reporting,Map Reduce,Generic Programming,Automated,Protocol Management,Network,HTTP"
1183,Peter Marbach,"Environmental Project Manager - PM Remediation Job in Islip
","Regulated Environment,PowerPoint,Contract W2,Generic Programming,Systems,VPN,iOS,Oracle R12 E-Business,visualization SQL,deployment,DB2,Android Studio,Change Management"
1184,Jefferey Coonradt,"Environmental Project Manager - PM Remediation Job in Islip
","Foundation,Drug Development,MS Project Stadard"
1185,Robert Mano,"Non-CDL Full-Time Route Driver Job in Cincinnati
","test design,Network Security,Android Studio,ARM,IT Policy Procedures,Perl,Angular.JS,applications development"
1186,Mammie Klus,"Non-CDL Full-Time Route Driver Job in Cincinnati
","Defect Management,Manager,Systems,Spark,BANKING,Manager,books,Load/Performance Testing,Maya,Angular.JS"
1187,Merrill Wehrman,"Non-CDL Full-Time Route Driver Job in Cincinnati
","Business Intelligence,Business Requirements,IP Video Delivery,OOD,Gnuplot"
1188,Elenor Unterreiner,"Non-CDL Full-Time Route Driver Job in Cincinnati
","TDD,ARM,IAM,Azure,LabVIEW,Access,SAP APO,OOP,SHELL,Engineering,Keras,Lifecycle"
1189,Trula Esquerra,"Non-CDL Full-Time Route Driver Job in Cincinnati
","firmware,Django,Design,PyTorch,VB Script,SciLab,business inteligence,Retail,problem solving"
1190,Alec Baig,"Non-CDL Full-Time Route Driver Job in Cincinnati
","Mainframe,Automated,Photoshop,Business Analytics,Bash shell scripting,Engineering,SAS,Business Analytics,FIX.FAST,Big Data,HTML,AUDIT,Configuration Management,SDLC"
1191,Kai Jennett,"Cryptologic Linguist Job in Johnstown 
","Development,Virtual Reality,Computer,concepts,Load/Performance Testing,Telecom"
1192,Wonda Colding,"Cryptologic Linguist Job in Johnstown 
","QA Tester,TFS,MAVEN"
1193,Darin Heggood,"Cryptologic Linguist Job in Johnstown 
","Switches,catalogs,JENKINS,AP"
1194,Ciera Milcher,"Cryptologic Linguist Job in Johnstown 
","applications development,AML,Analytical,CENTOS,Engineering,Process Engineering,Wireless,CISA,Microsoft Word,CISM"
1195,Elisabeth Petruzzelli,"Cryptologic Linguist Job in Johnstown 
","Network,Audacity,FIX.FAST,SAP ECC,Angular,Accounting,PCI,firmware,HAHA,Gnuplot"
1196,Jan Kleinknecht,"Order Fulfillment Job in Belle Plaine
","SQLITE,Libraries,Re-engineering,AP Technical Lead,Algorithm Engineer,,Informatica Admin,Wealth Management"
1197,Randee Vanlier,"Order Fulfillment Job in Belle Plaine
","movies,manage,Bootstrap,Azure,General Ledger,IT,Prime Music streams,File Systems,ADA,J2EE,firmware,CONTINUOUS INTEGRATION,Wealth Management,payment gateways"
1198,Debora Deans,"Clinical Services Manager Job in Bakersfield
","HTTP,SAP ERP,Photoshop,IT Policy Procedures,Redshift,SAP ERP,Design Patterns,Micro,Business Analyst healthcare,systems administration,Websites"
1199,T. D. Albright,"Clinical Services Manager Job in Bakersfield
","Telecommunications,AUDIT,Web services,Bash shell scripting,Supervision,Microsoft Word,Angular JS,QA,Java C/C++,See job description"
1200,Ardath Chilcoat,"Clinical Services Manager Job in Bakersfield
","Configuration Management,Computer vision,Excel,Computer Science,Retail,Azure,Avamar,AP Technical Lead,Keras,C,MapsAPI"
1201,Rudy Sinegal,"Clinical Services Manager Job in Bakersfield
","Compiler Design,OIM,HBase,Wealth Management,JSON,ASP.NET,Full Time,SQL Server,Chef,ASP,WCF,Hibernate,Unix Systems Programming,Telecommunications"
1202,Marco Cockburn,"Clinical Services Manager Job in Bakersfield
","IBM,Scheduling,Europe Asia.,Business Intelligence,pharma,digital analytics,Networking,Express,Programmer,File Systems,Operations Analysis,Scripts,Development Manager,Re-engineering"
1203,Ezekiel Cauchon,"Planning Division Intern Job in New York City
","Project Management,Middleware,Python,ALM,catalogs,Ajax"
1204,Yuk Gurka,"Planning Division Intern Job in New York City
","SAP APO,Quality"
1205,Mertie Swauger,"Planning Division Intern Job in New York City
","C#,Architect,Hibernate,Map Reduce,MVC,PCI,Solaris,C#,Java"
1206,Ronen Eldan,"Planning Division Intern Job in New York City
","SARBANES OXLEY,MongoDB,Application Development,Engineer,Angular2,ASP"
1207,Myrtie Upham,"Planning Division Intern Job in New York City
","Algorithm Engineer,,Ruby,Network Management,Perl,Digital Design,intense curiosity,Recruiter,Release,Scientific Software,Multithreading"
1208,Antony Flem,"Planning Division Intern Job in New York City
","Augmented Reality,FICO,User Interface,ASP.NET,REST API,Optimization,Adobe,IAM,Process Engineering,Computer Networks,Android,FIX.FAST,Pharma or Biotech,DL4J"
1209,Ciamac C. Moallemi,"Planning Division Intern Job in New York City
","Projects,Sales,Excel,Database,Accounting,AME,Multithreading"
1210,Andreas Argyriou,"Planning Division Intern Job in New York City
","Windows,Business Analyst,InformationSecurity"
1211,Mervin Abrev,"Director of Women’s Services – Director of Women Children’s Services Job in Houston
","Sybase,Cisco UCS,BUILD RELEASE ENGINEER,test design,Prime Music streams,Gnuplot"
1212,Joyce Trippe,"Director of Women’s Services – Director of Women Children’s Services Job in Houston
","DNS,MIS a related IT field,Cloud Computing,Wireless,Database,Testing,Xcode,preferably with Scala,JENKINS,PCI"
1213,Kali Bassham,"Director of Women’s Services – Director of Women Children’s Services Job in Houston
","MIS a related IT field,FINANCE,Plug Play,concepts,IT,SARBANES OXLEY,Azure,shopping carts,CASE,Ajax,ADABAS,OSS,Business Requirements"
1214,Carlos Blanco,"Pharmaceutical Sales Representative Job in San Antonio
","CONTROL,System Testing,WebLogic,SciLab,books,C C++,Visual Studio,Engineering"
1215,Marisol Hurtubise,"Pharmaceutical Sales Representative Job in San Antonio
","Internet Of Things,ADA,Shell Script,PMP"
1216,Tiesha Dacunto,"Pharmaceutical Sales Representative Job in San Antonio
","Citrix,Citrix,shopping carts,Test,OpenStack,System Engineering"
1217,Darlene Arhelger,"Pharmaceutical Sales Representative Job in San Antonio
","Angular JS,Cloud Computing,Network Security,CSS3,Automated,IP Video Delivery,fashion,REST API,INTERNAL CONTROL,Supply Chain,IP Video Delivery,UNIX/AIX"
1218,Jean Pouget-Abadie,"Pharmaceutical Sales Representative Job in San Antonio
","TAD PGS,validation,Design,Documentation,SARBANES,Mortgage/Equiting Lending,Re-engineering"
1219,P. Lichtsteiner,"Student at University of South Carolina, United States of America

","incident response,Raspberry Pi,BASIC,Fortran,Performace Management,Solaris,SQL Reporting Services Suite,Re-engineering,Analytical,Bash shell scripting,GIT,Applications,Cryptocurrency,Business Analytics"
1220,Randa Brandwein,"Student at University of South Carolina, United States of America

","Applications,OSS,Retail,Sybase,Pharma or Biotech"
1221,Marth Messel,"Student at University of South Carolina, United States of America

","Metrics,GIT,Software,Europe Asia.,Primavera 6.0,Lifecycle,Bash shell scripting,PMP,Cognos,especially C/C++,MAVEN,C++"
1222,Kirstie Clerf,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","System,HTTP,validation,Protocols,Computer Organisation"
1223,Lacy Ebeling,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","security accessment,API"
1224,Roger P. Levy,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","Database Administration,IIS,C,Google,Audacity,business development,Web Developer,Agile,Video,Node.js,selenium testing automation,Cobol"
1225,Cinda Matesic,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","InformationSecurity,SOX,MS Excel,Oracle,API,Sales Engineer,C++,TFS"
1226,Jolene Hoell,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","Best Practices,Julia,develop,XML,Redshift,Android,OS x,reporting,Recruiter,Maya,CUSTOMER SUPPORT,Prime Video views,User Interface,Processor Design"
1227,Yan Karklin,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","Big Data,Oracle,SAP APO,MACOSX,Full Time,Linux,Telecom,SQL Reporting Services Suite,AML"
1228,Chantay Resue,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","Stored Procedures,BANKING,Contract Independent,Computer,Network Management,DB2,Telecom,VPN,Algorithm Engineer,,Telecom,Hibernate,validation,LabVIEW,NoSQL,Programming"
1229,Alanna Edlin,"Now Hiring Assistant Restaurant Manager - Jason's Deli Job in Cranberry Township
","Quality Center,Full Time,Data Architecture,Customer Service,Virtual Reality,Re-engineering,IIS,Lifecycle,Computer Science,Management,Network,Chef"
1230,Sabrina Rohan,"Marketing Manager Job in Somerset
","CONTINUOUS INTEGRATION,Business Analyst,Django"
1231,Alejandrina Factor,"Marketing Manager Job in Somerset
","Informatica Admin,.NET C#,Algorithms,Drug Development,Switches,build,Process Engineering"
1232,Sabrina Vinton,"Marketing Manager Job in Somerset
","Communication,Telecom,Cisco UCS,Video,Kinesis,Microsoft Access,TFS,Apache"
1233,Abraham Chasen,"Marketing Manager Job in Somerset
","Unix,Protocol Management,books,Access,Protocols,Computer Organisation,EIT,Telecom,GIT"
1234,Qiang Ji,"Marketing Manager Job in Somerset
","Data Mining,CASE,Regulated Environment,Perl,Neural Networks,Security Risk Management,Tester,Architecture,Design Patterns,Computer vision,C C++,API,Hibernate,Raspberry Pi"
1235,Sadye Emmond,"Marketing Manager Job in Somerset
","SalesForce,Retail,especially C/C++,SQL Reporting Services Suite,Java C/C++"
1236,Clotilde Niedens,"Marketing Manager Job in Somerset
","Data Analytics,UNIX/AIX,Documentation,UNIX/AIX,HTML,movies"
1237,Lindsay Shifferd,"Marketing Manager Job in Somerset
","business development,Ruby,Consulting,Computer Networks,Contract W2,Critical Thinking,Customer Service,SHELL,Virtual Reality,Analysis,General Ledger,Web Server,problem solving,Test,Software Engineer"
1238,Ardith Schwuchow,"General Career Fields Job in Chicago
","Chef,Network Management,ForeSee,mobile device,Info Sec,Exchange,IIS,SQL Reporting Services Suite,Windows 7,Telecom,Ajax,Photoshop,biotech"
1239,Ana Madlung,"General Career Fields Job in Chicago
","Business Analyst,JSF,Excel,Development Manager,Unity,mobile device,Business Analyst healthcare,Rest,Analytical Skills,Linux System Admin,especially C/C++,After Effects,iOS,Supervision,JSF"
1240,Cherise Lege,"General Career Fields Job in Chicago
","Performace Management,intense curiosity"
1241,Shavonne Fauci,"General Career Fields Job in Chicago
","HTTP,OOD,Data Analysis"
1242,Loren Everet,"General Career Fields Job in Chicago
","DNS,Test,PowerPoint,DNS,ASP.NET,Wireless Communication"
1243,Tonja Elstner,"Lawn Technician Job in Springboro
","TDD,visualization SQL,RHEL,NoSQL,Struts,books,FIX.FAST,Libraries,Fortran,Angular JS,Supply Chain,Soap,Visual Studio,incident response,Libraries"
1244,Shantell Blau,"Lawn Technician Job in Springboro
","Outlook,General Ledger,User Interface"
1245,Sonny Slinkard,"Lawn Technician Job in Springboro
","architectural design patterns,CISM,QA,User Interface,CISSP,TAD PGS,ForeSee,DEVELOPMENT SUPPORT,Google,Business Analyst,Computer Networks,Scientific Software,Database Management"
1246,Dillon Laird,"Lawn Technician Job in Springboro
","SAP ERP,JSP,System,XML/XSL,Apache,Informatica Admin"
1247,Gianna Overdorf,"Lawn Technician Job in Springboro
","SQL Reporting Services Suite,FPGA,Sybase,Soap,validation,Bash shell scripting,Sales Engineer,Contract Independent,PyTorch,Windows 7,Prime Music streams,MACOSX,network monitoring,VBA"
1248,Milton Asrari,"Lawn Technician Job in Springboro
","Spring,user training,Compiler Design,WebSphere,Brocade"
1249,Janetta Usery,"Paralegal Job in Roseland
","Re-engineering,Libraries,Director of IS,payment gateways,Cobol,Java Java EE,Projects"
1250,Arnaud Doucet,"Paralegal Job in Roseland
","Kinesis,Linux System Admin,digital analytics,Spotfire,Performance,Web Server,Unix,MACOSX,Informatica Admin,Recruiter,SYSTEM ENGINEER,SYSTEM ENGINEER,Network Security"
1251,Kai Bohnert,"Paralegal Job in Roseland
","Express,OpenCV,MS Project Stadard,Database Administration,Keras,Gnuplot,Projects,API,SSL,Cobol,SSL,digital analytics,concepts,HTML5,Visual Basic"
1252,Lisette Colletti,"Paralegal Job in Roseland
","Configuration Management,biotech,Database,HTML5,SaaS solution Coupa"
1253,Stephania Lamborne,"Paralegal Job in Roseland
","Wireless,Hibernate,Primavera 6.0,Supply Chain,Bootstrap,J2EE,Workflow,SARBANES,C/C++,.NET,IT"
1254,Thomas Berkheimer,"Paralegal Job in Roseland
","Go,Mobile,Audacity,Director of IS,firmware,Director of IS,AP,Development,XML,HBase,Web Design,Computer Science,VBA"
1255,Delorse Couley,"Sr. Product Support Engineer Job in Cincinnati
","Web,JavaScript,CUSTOMER SUPPORT,biotech,Computer"
1256,Lavinia Bibel,"Sr. Product Support Engineer Job in Cincinnati
","IT,Lifecycle,OIM,Outlook,Stored Procedures,Avamar,Data Analysis,NLP,SQL Reporting Services Suite,Protocol Management,ARM,VB Script,Load/Performance Testing"
1257,Dong Stedman,"ASSISTANT PROJECT MANAGER Job in Barrington
","Network Engineering,Octave,AP Technical Lead,Scripts,Bootstrap,Solr,Big Data,Google,SYSTEM ENGINEER,Best Practices,Prime Video views,SQL Server,INTERNAL CONTROL,NoSQL"
1258,Josefine Whiteleather,"ASSISTANT PROJECT MANAGER Job in Barrington
","Angular.JS,RHEL,CISSP,Google,Cisco,business development,Informatica Admin,Express,SAP APO,Machine Learning,staffing,Web Design,Accounting,deployment,Data Structures"
1259,Moon Cavaiani,"ASSISTANT PROJECT MANAGER Job in Barrington
","VMware,Database Management,SAS,Network Engineer,Spotfire,Project coordinator,User Interface,SARBANES,Text Analytics,Primavera 6.0"
1260,Racquel Daken,"ASSISTANT PROJECT MANAGER Job in Barrington
","HDFS,Matlab,Computer,Tensorflow,Protocol,Business Analyst healthcare,Octave,R"
1261,Jason Rumney,"ASSISTANT PROJECT MANAGER Job in Barrington
","Business Requirements,Wireless,Wireless,Computer"
1262,Samatha Ulmen,"ASSISTANT PROJECT MANAGER Job in Barrington
","DL4J,Construction,Compiler Design,OOP,Programming,HTTP,Release,Hon Java Developer"
1263,Devona Expose,"ASSISTANT PROJECT MANAGER Job in Barrington
","Ruby,Architect,JavaScript,Scrum,SQL Server,Telecom,Multithreading,Browzwear,Cisco,Multithreading,Analytical,Informatica Admin,Change Management,JavaScript"
1264,Raina Belsheim,"ASSISTANT PROJECT MANAGER Job in Barrington
","Scripts,biotech,Apache"
1265,Maurice Tretina,"Learning & Development Specialist Job in Philadelphia
","systems administration,SHELL,data driven development,VMware,NodeJS,Arduino,Theory of Computation,IT,WebLogic,Spring"
1266,Venessa Darnley,"Learning & Development Specialist Job in Philadelphia
","Struts,Java,TCP/IP,Management,ADA,ForeSee,UNIX/AIX,SOX"
1267,Suzi Machkovich,"Learning & Development Specialist Job in Philadelphia
","Change Management,Visual Basic,NoSQL,React,SARBANES,BASH,General Ledger,Network Management,Micro,REST API,File Systems,Fortran,Microsoft Access,Android Studio"
1268,Josue Shones,"Learning & Development Specialist Job in Philadelphia
","After Effects,security accessment,Angular2,BASIC,MS Project Stadard,Data Analysis,Rust,WebLogic"
1269,Julee Bernstock,"Learning & Development Specialist Job in Philadelphia
","DEVOPS ENGINEER,Oracle,AI,Wealth Management,Java C/C++,Sales Engineer,Browzwear,Xcode,Switches,File Systems,Security Risk Management,Browzwear"
1270,Rosalia Nolde,"Learning & Development Specialist Job in Philadelphia
","Content Delivery Networks,CASE,FICO,Microsoft Word,REST API,Angular.JS,Fortran"
1271,Geri Kresal,"Learning & Development Specialist Job in Philadelphia
","Documentation,Business Requirements,Spring,Artificial Intelligence,Ruby,Network Engineer,Matlab,Plug Play,applications development,OSS,INTERNAL CONTROL,Full Time,PCI,TCP/IP"
1272,Marceline Hilts,"Inhouse Counsel - NJ Job in New York
","Compiler Design,ASP,Quality Assurance,Tableau,BW reporting,Protocol,Shell Script"
1273,Susanna Illig,"Lead Teacher Job in Columbus
","Brocade,Accounting,payment gateways,Management,C/C++,catalogs,MS Project Stadard,Neural Networks,Windows,Open CV,HTML5"
1274,Nicky Adleman,"Lead Teacher Job in Columbus
","JSP,Node.js,DynamoDB,Mortgage/Equiting Lending,Network Security,selenium testing automation,Data Mining,preferably with Scala,Angular,Java/J2EE,ASP"
1275,Toney Goick,"Senior Software Quality Assurance SQA) Analyst Job in Florham Park
","Struts,Tester,API,AWS,Spring,"
